R_Fighter,R_KD,R_Sub. att,R_Rev.,R_Ctrl,B_Fighter,B_KD,B_Sub. att,B_Rev.,B_Ctrl,Winner,Division,Title_Bout,Event,Method,Round,Time,Date,Location,R_Sig. str._Landed,R_Sig. str._Attempted,R_Total str._Landed,R_Total str._Attempted,R_Td_Landed,R_Td_Attempted,R_Head_Landed,R_Head_Attempted,R_Body_Landed,R_Body_Attempted,R_Leg_Landed,R_Leg_Attempted,R_Distance_Landed,R_Distance_Attempted,R_Clinch_Landed,R_Clinch_Attempted,R_Ground_Landed,R_Ground_Attempted,B_Sig. str._Landed,B_Sig. str._Attempted,B_Total str._Landed,B_Total str._Attempted,B_Td_Landed,B_Td_Attempted,B_Head_Landed,B_Head_Attempted,B_Body_Landed,B_Body_Attempted,B_Leg_Landed,B_Leg_Attempted,B_Distance_Landed,B_Distance_Attempted,B_Clinch_Landed,B_Clinch_Attempted,B_Ground_Landed,B_Ground_Attempted
Raoni Barcelos,0,1,0,3.25,Khalid Taha,0,0,1,1.45,Red,Bantamweight,0,UFC Fight Night: Santos vs. Teixeira,Decision - Unanimous,3,5:00,2020-11-07,"Las Vegas, Nevada, USA",120.0,207.0,129.0,219.0,2.0,4.0,85.0,166.0,17.0,22.0,18.0,19.0,108.0,195.0,7.0,7.0,5.0,5.0,49.0,202.0,68.0,222.0,0.0,1.0,40.0,186.0,5.0,10.0,4.0,6.0,49.0,193.0,0.0,6.0,0.0,3.0
Giga Chikadze,1,0,0,0.15,Jamey Simmons,0,0,0,0.73,Red,Featherweight,0,UFC Fight Night: Santos vs. Teixeira,KO/TKO,1,3:51,2020-11-07,"Las Vegas, Nevada, USA",8.0,16.0,8.0,16.0,0.0,1.0,6.0,13.0,2.0,3.0,0.0,0.0,4.0,10.0,0.0,0.0,4.0,6.0,2.0,4.0,4.0,6.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
Claudia Gadelha,0,0,0,6.77,Yan Xiaonan,0,0,0,0.32,Blue,Women's Strawweight,0,UFC Fight Night: Santos vs. Teixeira,Decision - Unanimous,3,5:00,2020-11-07,"Las Vegas, Nevada, USA",36.0,96.0,84.0,149.0,2.0,10.0,29.0,84.0,6.0,11.0,1.0,1.0,30.0,88.0,1.0,3.0,5.0,5.0,74.0,170.0,133.0,234.0,0.0,0.0,54.0,143.0,15.0,21.0,5.0,6.0,58.0,149.0,14.0,18.0,2.0,3.0
Trevin Giles,2,0,0,2.55,Bevon Lewis,0,0,0,1.58,Red,Middleweight,0,UFC Fight Night: Santos vs. Teixeira,KO/TKO,3,1:26,2020-11-07,"Las Vegas, Nevada, USA",38.0,59.0,51.0,73.0,1.0,2.0,34.0,54.0,2.0,3.0,2.0,2.0,34.0,53.0,3.0,5.0,1.0,1.0,26.0,75.0,60.0,113.0,0.0,6.0,15.0,59.0,6.0,9.0,5.0,7.0,21.0,69.0,5.0,6.0,0.0,0.0
Alexandr Romanov,0,1,0,3.85,Marcos Rogerio de Lima,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night: Santos vs. Teixeira,Submission,1,4:48,2020-11-07,"Las Vegas, Nevada, USA",6.0,7.0,10.0,12.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,18.0,29.0,27.0,39.0,0.0,0.0,7.0,17.0,5.0,5.0,6.0,7.0,12.0,22.0,5.0,6.0,1.0,1.0
Darren Elkins,0,1,0,7.57,Eduardo Garagorri,0,0,0,0.17,Red,Featherweight,0,UFC Fight Night: Santos vs. Teixeira,Submission,3,2:22,2020-11-07,"Las Vegas, Nevada, USA",32.0,72.0,120.0,168.0,7.0,21.0,21.0,58.0,10.0,13.0,1.0,1.0,18.0,55.0,12.0,15.0,2.0,2.0,36.0,78.0,48.0,90.0,0.0,0.0,28.0,69.0,8.0,9.0,0.0,0.0,30.0,69.0,3.0,4.0,3.0,5.0
Max Griffin,0,0,0,0.53,Ramiz Brahimaj,0,0,0,0.22,Red,Welterweight,0,UFC Fight Night: Santos vs. Teixeira,KO/TKO,3,2:03,2020-11-07,"Las Vegas, Nevada, USA",74.0,167.0,82.0,175.0,0.0,1.0,50.0,135.0,14.0,21.0,10.0,11.0,73.0,166.0,1.0,1.0,0.0,0.0,45.0,123.0,46.0,124.0,0.0,0.0,40.0,112.0,3.0,9.0,2.0,2.0,45.0,123.0,0.0,0.0,0.0,0.0
Gustavo Lopez,0,1,0,1.1,Anthony Birchak,0,0,0,0.0,Red,Bantamweight,0,UFC Fight Night: Santos vs. Teixeira,Submission,1,2:43,2020-11-07,"Las Vegas, Nevada, USA",26.0,43.0,33.0,50.0,2.0,3.0,17.0,33.0,9.0,10.0,0.0,0.0,15.0,27.0,5.0,7.0,6.0,9.0,17.0,40.0,18.0,41.0,0.0,0.0,8.0,27.0,5.0,9.0,4.0,4.0,12.0,33.0,3.0,5.0,2.0,2.0
Uriah Hall,2,0,0,0.25,Anderson Silva,0,0,0,0.52,Red,Middleweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,4,1:24,2020-10-31,"Las Vegas, Nevada, USA",60.0,111.0,61.0,112.0,0.0,0.0,41.0,90.0,10.0,12.0,9.0,9.0,45.0,87.0,0.0,0.0,15.0,24.0,53.0,110.0,57.0,114.0,0.0,0.0,16.0,61.0,18.0,28.0,19.0,21.0,51.0,107.0,2.0,3.0,0.0,0.0
Bryce Mitchell,0,1,0,10.2,Andre Fili,0,0,2,0.57,Red,Featherweight,0,UFC Fight Night: Hall vs. Silva,Decision - Unanimous,3,5:00,2020-10-31,"Las Vegas, Nevada, USA",46.0,69.0,100.0,135.0,7.0,13.0,28.0,49.0,14.0,15.0,4.0,5.0,29.0,42.0,0.0,0.0,17.0,27.0,27.0,72.0,51.0,97.0,0.0,0.0,19.0,62.0,5.0,7.0,3.0,3.0,23.0,67.0,0.0,0.0,4.0,5.0
Maurice Greene,0,0,0,0.0,Greg Hardy,1,0,0,2.5300000000000002,Blue,Heavyweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,2,1:12,2020-10-31,"Las Vegas, Nevada, USA",17.0,37.0,17.0,37.0,0.0,0.0,6.0,21.0,3.0,5.0,8.0,11.0,16.0,36.0,0.0,0.0,1.0,1.0,46.0,74.0,56.0,85.0,1.0,1.0,32.0,55.0,5.0,5.0,9.0,14.0,19.0,36.0,0.0,0.0,27.0,38.0
Kevin Holland,0,0,0,2.22,Charlie Ontiveros,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Hall vs. Silva,Submission,1,2:39,2020-10-31,"Las Vegas, Nevada, USA",11.0,12.0,33.0,34.0,2.0,2.0,10.0,11.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,9.0,9.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Bobby Green,0,0,1,1.18,Thiago Moises,0,1,0,1.85,Blue,Lightweight,0,UFC Fight Night: Hall vs. Silva,Decision - Unanimous,3,5:00,2020-10-31,"Las Vegas, Nevada, USA",85.0,177.0,94.0,187.0,2.0,3.0,29.0,104.0,31.0,40.0,25.0,33.0,82.0,170.0,3.0,4.0,0.0,3.0,42.0,119.0,43.0,120.0,2.0,3.0,29.0,102.0,5.0,7.0,8.0,10.0,42.0,119.0,0.0,0.0,0.0,0.0
Chris Gruetzemacher,0,0,0,0.0,Alexander Hernandez,1,0,0,0.0,Blue,Lightweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,1,1:46,2020-10-31,"Las Vegas, Nevada, USA",8.0,27.0,8.0,27.0,0.0,0.0,4.0,20.0,0.0,2.0,4.0,5.0,8.0,26.0,0.0,1.0,0.0,0.0,29.0,52.0,29.0,52.0,0.0,0.0,16.0,34.0,4.0,9.0,9.0,9.0,28.0,51.0,1.0,1.0,0.0,0.0
Adrian Yanez,1,0,0,0.08,Victor Rodriguez,0,0,0,0.9,Red,Bantamweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,1,2:46,2020-10-31,"Las Vegas, Nevada, USA",17.0,34.0,18.0,35.0,0.0,0.0,15.0,32.0,2.0,2.0,0.0,0.0,16.0,33.0,1.0,1.0,0.0,0.0,6.0,13.0,9.0,16.0,0.0,3.0,5.0,11.0,1.0,2.0,0.0,0.0,6.0,12.0,0.0,1.0,0.0,0.0
Sean Strickland,0,0,0,0.0,Jack Marshman,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Hall vs. Silva,Decision - Unanimous,3,5:00,2020-10-31,"Las Vegas, Nevada, USA",106.0,227.0,106.0,227.0,0.0,0.0,88.0,203.0,15.0,21.0,3.0,3.0,106.0,227.0,0.0,0.0,0.0,0.0,48.0,252.0,48.0,252.0,0.0,0.0,19.0,176.0,18.0,59.0,11.0,17.0,48.0,252.0,0.0,0.0,0.0,0.0
Cole Williams,0,0,0,0.0,Jason Witt,0,1,0,6.32,Blue,Welterweight,0,UFC Fight Night: Hall vs. Silva,Submission,2,2:09,2020-10-31,"Las Vegas, Nevada, USA",1.0,5.0,23.0,27.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,20.0,31.0,50.0,70.0,2.0,3.0,17.0,28.0,1.0,1.0,2.0,2.0,5.0,9.0,0.0,0.0,15.0,22.0
Dustin Jacoby,2,0,0,0.18,Justin Ledet,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,1,2:38,2020-10-31,"Las Vegas, Nevada, USA",22.0,38.0,22.0,38.0,0.0,0.0,10.0,22.0,2.0,5.0,10.0,11.0,17.0,29.0,0.0,1.0,5.0,8.0,10.0,31.0,10.0,31.0,0.0,0.0,8.0,29.0,0.0,0.0,2.0,2.0,10.0,30.0,0.0,1.0,0.0,0.0
Miles Johns,1,0,0,3.05,Kevin Natividad,0,0,0,0.0,Red,Bantamweight,0,UFC Fight Night: Hall vs. Silva,KO/TKO,3,2:51,2020-10-31,"Las Vegas, Nevada, USA",48.0,105.0,56.0,114.0,0.0,7.0,39.0,92.0,3.0,7.0,6.0,6.0,46.0,100.0,2.0,5.0,0.0,0.0,33.0,137.0,38.0,142.0,0.0,1.0,23.0,119.0,8.0,15.0,2.0,3.0,31.0,132.0,2.0,5.0,0.0,0.0
Khabib Nurmagomedov,0,1,0,0.92,Justin Gaethje,0,0,0,0.23,Red,Lightweight,1,UFC 254: Khabib vs. Gaethje,Submission,2,1:34,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",26.0,80.0,26.0,80.0,2.0,3.0,18.0,72.0,7.0,7.0,1.0,1.0,25.0,79.0,0.0,0.0,1.0,1.0,29.0,45.0,29.0,46.0,0.0,0.0,12.0,26.0,2.0,4.0,15.0,15.0,29.0,45.0,0.0,0.0,0.0,0.0
Robert Whittaker,1,0,0,2.17,Jared Cannonier,0,0,0,0.5,Red,Middleweight,0,UFC 254: Khabib vs. Gaethje,Decision - Unanimous,3,5:00,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",69.0,151.0,75.0,158.0,0.0,2.0,59.0,138.0,5.0,8.0,5.0,5.0,62.0,137.0,1.0,2.0,6.0,12.0,53.0,89.0,58.0,94.0,0.0,0.0,17.0,46.0,14.0,18.0,22.0,25.0,49.0,84.0,4.0,5.0,0.0,0.0
Alexander Volkov,0,0,0,0.08,Walt Harris,0,0,0,0.0,Red,Heavyweight,0,UFC 254: Khabib vs. Gaethje,KO/TKO,2,1:15,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",45.0,73.0,45.0,73.0,0.0,0.0,32.0,59.0,11.0,11.0,2.0,3.0,42.0,69.0,3.0,4.0,0.0,0.0,16.0,58.0,16.0,58.0,0.0,1.0,7.0,45.0,5.0,9.0,4.0,4.0,16.0,56.0,0.0,2.0,0.0,0.0
Jacob Malkoun,0,0,0,0.0,Phil Hawes,1,0,0,0.02,Blue,Middleweight,0,UFC 254: Khabib vs. Gaethje,KO/TKO,1,0:18,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,11.0,7.0,11.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,2.0,2.0
Lauren Murphy,0,1,0,1.17,Liliya Shakirova,0,0,0,0.48,Red,Women's Flyweight,0,UFC 254: Khabib vs. Gaethje,Submission,2,3:31,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",22.0,85.0,32.0,96.0,1.0,1.0,16.0,78.0,6.0,7.0,0.0,0.0,12.0,72.0,8.0,11.0,2.0,2.0,23.0,75.0,27.0,80.0,0.0,3.0,7.0,45.0,7.0,17.0,9.0,13.0,23.0,75.0,0.0,0.0,0.0,0.0
Magomed Ankalaev,2,0,0,0.08,Ion Cutelaba,0,0,0,0.0,Red,Light Heavyweight,0,UFC 254: Khabib vs. Gaethje,KO/TKO,1,4:19,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",21.0,41.0,21.0,41.0,0.0,0.0,17.0,36.0,2.0,3.0,2.0,2.0,14.0,31.0,1.0,1.0,6.0,9.0,11.0,36.0,11.0,36.0,0.0,0.0,5.0,27.0,2.0,4.0,4.0,5.0,11.0,36.0,0.0,0.0,0.0,0.0
Stefan Struve,0,0,0,0.0,Tai Tuivasa,1,0,0,1.73,Blue,Heavyweight,0,UFC 254: Khabib vs. Gaethje,KO/TKO,1,4:59,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",13.0,19.0,13.0,19.0,0.0,1.0,4.0,6.0,4.0,8.0,5.0,5.0,13.0,19.0,0.0,0.0,0.0,0.0,27.0,42.0,48.0,63.0,0.0,0.0,15.0,28.0,4.0,4.0,8.0,10.0,14.0,28.0,10.0,11.0,3.0,3.0
Nathaniel Wood,0,0,0,0.0,Casey Kenney,0,0,0,1.5,Blue,Catch Weight,0,UFC 254: Khabib vs. Gaethje,Decision - Unanimous,3,5:00,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",136.0,321.0,138.0,325.0,0.0,3.0,70.0,237.0,9.0,22.0,57.0,62.0,134.0,318.0,2.0,3.0,0.0,0.0,123.0,247.0,125.0,249.0,2.0,6.0,74.0,189.0,25.0,32.0,24.0,26.0,118.0,241.0,4.0,5.0,1.0,1.0
Alex Oliveira,0,0,0,2.07,Shavkat Rakhmonov,0,1,0,0.73,Blue,Welterweight,0,UFC 254: Khabib vs. Gaethje,Submission,1,4:40,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",9.0,18.0,16.0,26.0,0.0,2.0,3.0,9.0,3.0,5.0,3.0,4.0,4.0,12.0,5.0,6.0,0.0,0.0,13.0,25.0,32.0,44.0,0.0,2.0,6.0,14.0,4.0,8.0,3.0,3.0,10.0,19.0,3.0,6.0,0.0,0.0
Da-Un Jung,1,0,0,2.42,Sam Alvey,0,0,0,0.08,Draw,Light Heavyweight,0,UFC 254: Khabib vs. Gaethje,Decision - Split,3,5:00,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",56.0,126.0,61.0,133.0,0.0,3.0,43.0,108.0,5.0,10.0,8.0,8.0,46.0,114.0,6.0,8.0,4.0,4.0,59.0,166.0,69.0,177.0,0.0,0.0,38.0,140.0,3.0,8.0,18.0,18.0,56.0,162.0,2.0,3.0,1.0,1.0
Liana Jojua,0,0,0,0.0,Miranda Maverick,0,0,0,0.0,Blue,Women's Flyweight,0,UFC 254: Khabib vs. Gaethje,TKO - Doctor's Stoppage,1,5:00,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",30.0,80.0,30.0,80.0,0.0,0.0,26.0,71.0,4.0,8.0,0.0,1.0,30.0,80.0,0.0,0.0,0.0,0.0,49.0,95.0,49.0,95.0,0.0,0.0,25.0,65.0,15.0,21.0,9.0,9.0,49.0,95.0,0.0,0.0,0.0,0.0
Joel Alvarez,0,2,0,0.0,Alexander Yakovlev,0,0,0,1.95,Red,Lightweight,0,UFC 254: Khabib vs. Gaethje,Submission,1,3:00,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4.0,6.0,10.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Brian Ortega,2,0,0,0.95,Chan Sung Jung,0,0,0,0.0,Red,Featherweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,5,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",127.0,212.0,129.0,214.0,3.0,10.0,64.0,135.0,22.0,28.0,41.0,49.0,118.0,199.0,5.0,7.0,4.0,6.0,62.0,163.0,64.0,166.0,0.0,0.0,35.0,127.0,14.0,21.0,13.0,15.0,62.0,162.0,0.0,1.0,0.0,0.0
Katlyn Chookagian,0,0,0,0.42,Jessica Andrade,1,0,0,2.43,Blue,Women's Flyweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,KO/TKO,1,4:55,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",19.0,53.0,27.0,61.0,0.0,0.0,7.0,35.0,12.0,18.0,0.0,0.0,10.0,41.0,9.0,12.0,0.0,0.0,28.0,43.0,62.0,79.0,2.0,3.0,11.0,24.0,11.0,12.0,6.0,7.0,14.0,28.0,8.0,9.0,6.0,6.0
Jimmy Crute,2,0,0,0.42,Modestas Bukauskas,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,KO/TKO,1,2:01,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",17.0,24.0,18.0,25.0,0.0,1.0,8.0,14.0,1.0,1.0,8.0,9.0,14.0,21.0,1.0,1.0,2.0,2.0,7.0,17.0,7.0,17.0,0.0,0.0,2.0,11.0,2.0,3.0,3.0,3.0,7.0,17.0,0.0,0.0,0.0,0.0
Claudio Silva,0,0,0,0.97,James Krause,0,0,0,0.23,Blue,Welterweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",64.0,214.0,66.0,216.0,2.0,12.0,30.0,143.0,11.0,43.0,23.0,28.0,64.0,214.0,0.0,0.0,0.0,0.0,94.0,159.0,96.0,162.0,0.0,1.0,73.0,135.0,18.0,21.0,3.0,3.0,94.0,159.0,0.0,0.0,0.0,0.0
Thomas Almeida,0,0,0,0.03,Jonathan Martinez,0,0,0,0.0,Blue,Featherweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",64.0,171.0,64.0,171.0,0.0,5.0,33.0,127.0,17.0,29.0,14.0,15.0,56.0,163.0,8.0,8.0,0.0,0.0,73.0,205.0,73.0,205.0,0.0,0.0,53.0,170.0,18.0,33.0,2.0,2.0,69.0,201.0,4.0,4.0,0.0,0.0
Mateusz Gamrot,0,0,0,3.48,Guram Kutateladze,1,0,0,0.02,Blue,Lightweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Split,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",52.0,126.0,69.0,151.0,5.0,16.0,42.0,112.0,6.0,10.0,4.0,4.0,37.0,103.0,4.0,4.0,11.0,19.0,37.0,86.0,43.0,93.0,0.0,1.0,12.0,48.0,12.0,24.0,13.0,14.0,35.0,84.0,0.0,0.0,2.0,2.0
Gillian Robertson,0,0,0,9.57,Poliana Botelho,0,0,0,1.27,Red,Women's Flyweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",57.0,98.0,104.0,161.0,3.0,7.0,43.0,77.0,7.0,10.0,7.0,11.0,9.0,30.0,0.0,0.0,48.0,68.0,22.0,43.0,39.0,61.0,0.0,0.0,11.0,32.0,8.0,8.0,3.0,3.0,15.0,35.0,4.0,5.0,3.0,3.0
Junyong Park,0,0,0,13.18,John Phillips,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10.0,21.0,260.0,350.0,4.0,4.0,10.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,19.0,5.0,14.0,13.0,25.0,0.0,0.0,1.0,10.0,2.0,2.0,2.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0
Jamie Mullarkey,0,0,0,6.93,Fares Ziam,0,0,2,1.2,Blue,Lightweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,Decision - Unanimous,3,5:00,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",20.0,72.0,29.0,84.0,5.0,11.0,7.0,51.0,2.0,8.0,11.0,13.0,18.0,65.0,2.0,7.0,0.0,0.0,47.0,89.0,54.0,98.0,1.0,5.0,34.0,76.0,4.0,4.0,9.0,9.0,35.0,72.0,6.0,8.0,6.0,9.0
Gadzhimurad Antigulov,0,0,0,2.65,Maxim Grishin,0,0,0,2.35,Blue,Light Heavyweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,KO/TKO,2,4:58,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",12.0,23.0,31.0,44.0,1.0,5.0,5.0,15.0,4.0,5.0,3.0,3.0,8.0,17.0,3.0,5.0,1.0,1.0,34.0,76.0,66.0,126.0,1.0,1.0,20.0,61.0,6.0,7.0,8.0,8.0,22.0,45.0,3.0,6.0,9.0,25.0
Said Nurmagomedov,0,0,0,0.08,Mark Striegl,0,0,0,0.0,Red,Bantamweight,0,UFC Fight Night: Ortega vs. The Korean Zombie,KO/TKO,1,0:51,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",18.0,24.0,18.0,24.0,0.0,0.0,17.0,22.0,0.0,0.0,1.0,2.0,3.0,7.0,4.0,4.0,11.0,13.0,3.0,7.0,3.0,7.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0
Marlon Moraes,0,0,0,0.15,Cory Sandhagen,1,0,0,0.07,Blue,Bantamweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,2,1:03,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",14.0,50.0,14.0,50.0,1.0,1.0,10.0,39.0,1.0,5.0,3.0,6.0,14.0,50.0,0.0,0.0,0.0,0.0,38.0,88.0,38.0,88.0,0.0,0.0,16.0,63.0,9.0,10.0,13.0,15.0,36.0,84.0,0.0,0.0,2.0,4.0
Edson Barboza,2,1,0,1.63,Makwan Amirkhani,0,0,0,3.22,Red,Featherweight,0,UFC Fight Night: Moraes vs. Sandhagen,Decision - Unanimous,3,5:00,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",32.0,74.0,34.0,77.0,0.0,0.0,8.0,42.0,18.0,23.0,6.0,9.0,31.0,69.0,0.0,1.0,1.0,4.0,11.0,39.0,25.0,59.0,3.0,6.0,10.0,36.0,1.0,3.0,0.0,0.0,10.0,36.0,0.0,1.0,1.0,2.0
Ben Rothwell,0,0,0,0.32,Marcin Tybura,0,0,0,3.13,Blue,Heavyweight,0,UFC Fight Night: Moraes vs. Sandhagen,Decision - Unanimous,3,5:00,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",89.0,276.0,95.0,287.0,0.0,0.0,63.0,247.0,16.0,19.0,10.0,10.0,78.0,260.0,11.0,16.0,0.0,0.0,94.0,183.0,155.0,274.0,1.0,3.0,69.0,154.0,15.0,19.0,10.0,10.0,89.0,165.0,3.0,12.0,2.0,6.0
Markus Perez,0,0,0,0.0,Dricus Du Plessis,1,0,0,0.03,Blue,Middleweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,1,3:22,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",14.0,43.0,14.0,43.0,0.0,0.0,8.0,36.0,3.0,4.0,3.0,3.0,14.0,43.0,0.0,0.0,0.0,0.0,26.0,58.0,26.0,58.0,0.0,0.0,7.0,28.0,4.0,5.0,15.0,25.0,23.0,54.0,0.0,0.0,3.0,4.0
Tom Aspinall,0,0,0,0.5,Alan Baudot,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,1,1:35,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",16.0,25.0,17.0,26.0,1.0,1.0,15.0,24.0,0.0,0.0,1.0,1.0,4.0,10.0,0.0,0.0,12.0,15.0,3.0,12.0,5.0,14.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0
Youssef Zalal,0,1,3,2.85,Ilia Topuria,0,5,0,8.03,Blue,Featherweight,0,UFC Fight Night: Moraes vs. Sandhagen,Decision - Unanimous,3,5:00,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",17.0,53.0,40.0,85.0,0.0,2.0,10.0,43.0,4.0,7.0,3.0,3.0,15.0,50.0,2.0,2.0,0.0,1.0,13.0,33.0,30.0,62.0,5.0,9.0,7.0,23.0,6.0,10.0,0.0,0.0,12.0,30.0,1.0,2.0,0.0,1.0
Tom Breese,1,0,0,0.08,KB Bhullar,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,1,1:42,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",17.0,27.0,18.0,28.0,0.0,0.0,15.0,25.0,0.0,0.0,2.0,2.0,11.0,19.0,0.0,1.0,6.0,7.0,2.0,15.0,2.0,16.0,0.0,0.0,0.0,9.0,0.0,2.0,2.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0
Chris Daukaus,2,0,0,0.4,Rodrigo Nascimento,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,1,0:45,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",13.0,21.0,13.0,21.0,0.0,0.0,13.0,21.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,7.0,10.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
Impa Kasanganay,0,0,0,0.0,Joaquin Buckley,1,0,0,1.05,Blue,Middleweight,0,UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,2,2:03,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",28.0,79.0,31.0,85.0,0.0,0.0,17.0,64.0,5.0,8.0,6.0,7.0,28.0,79.0,0.0,0.0,0.0,0.0,29.0,94.0,29.0,95.0,1.0,2.0,19.0,79.0,5.0,10.0,5.0,5.0,25.0,88.0,2.0,3.0,2.0,3.0
