R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Devin Powell,1,12 of 26,46%,12 of 26,0 of 1,0%,0,0,0:11,3 of 14,5 of 7,4 of 5,10 of 24,0 of 0,2 of 2,Alvaro Herrera Mendoza,0,7 of 23,30%,7 of 23,0 of 0,---,0,0,0:10,3 of 19,4 of 4,0 of 0,6 of 22,0 of 0,1 of 1,Red,Lightweight,0,UFC Fight Night: Alvarez vs. Poirier 2,KO/TKO,1,1:52
Mauricio Rua,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:00,0 of 7,1 of 1,3 of 4,4 of 12,0 of 0,0 of 0,Anthony Smith,1,23 of 31,74%,23 of 31,0 of 0,---,0,0,0:01,21 of 29,0 of 0,2 of 2,23 of 31,0 of 0,0 of 0,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs. Smith,KO/TKO,1,1:29
Glover Teixeira,0,20 of 46,43%,27 of 54,0 of 4,0%,1,0,0:40,15 of 39,5 of 7,0 of 0,17 of 42,1 of 2,2 of 2,Corey Anderson,0,48 of 97,49%,88 of 140,7 of 19,36%,0,0,7:28,39 of 87,8 of 9,1 of 1,31 of 69,5 of 16,12 of 12,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Vitor Miranda,0,19 of 45,42%,63 of 91,3 of 4,75%,1,1,4:57,10 of 32,3 of 6,6 of 7,12 of 34,3 of 3,4 of 8,Abu Azaitar,0,48 of 128,37%,135 of 226,1 of 1,100%,0,1,3:18,33 of 109,11 of 15,4 of 4,30 of 104,5 of 8,13 of 16,Blue,Middleweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Marcin Tybura,0,41 of 68,60%,87 of 123,5 of 7,71%,0,0,7:43,17 of 37,10 of 14,14 of 17,19 of 42,0 of 0,22 of 26,Stefan Struve,0,31 of 78,39%,33 of 81,0 of 0,---,0,0,0:05,20 of 64,3 of 5,8 of 9,27 of 73,3 of 3,1 of 2,Red,Heavyweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Danny Roberts,0,45 of 87,51%,68 of 117,0 of 2,0%,1,0,8:46,32 of 73,6 of 6,7 of 8,14 of 45,1 of 1,30 of 41,David Zawada,0,33 of 64,51%,63 of 99,2 of 5,40%,5,1,2:42,21 of 51,10 of 11,2 of 2,18 of 48,10 of 11,5 of 5,Red,Welterweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Split,3,5:00
Nasrat Haqparast,1,93 of 198,46%,102 of 208,0 of 2,0%,0,0,0:34,79 of 180,7 of 11,7 of 7,75 of 170,10 of 11,8 of 17,Marc Diakiese,0,50 of 220,22%,50 of 220,0 of 4,0%,0,0,0:00,28 of 194,20 of 24,2 of 2,49 of 218,1 of 2,0 of 0,Red,Lightweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Nick Hein,0,43 of 198,21%,43 of 198,0 of 0,---,0,0,0:00,32 of 182,8 of 12,3 of 4,43 of 198,0 of 0,0 of 0,Damir Hadzovic,1,71 of 155,45%,71 of 155,0 of 0,---,0,0,0:07,48 of 127,12 of 17,11 of 11,68 of 152,2 of 2,1 of 1,Blue,Lightweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Split,3,5:00
Emil Meek,0,21 of 65,32%,69 of 115,0 of 0,---,1,0,0:13,20 of 60,1 of 5,0 of 0,14 of 56,3 of 5,4 of 4,Bartosz Fabinski,0,35 of 48,72%,72 of 91,6 of 9,66%,0,0,13:04,28 of 40,4 of 5,3 of 3,12 of 19,3 of 4,20 of 25,Blue,Welterweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Khalid Taha,0,32 of 57,56%,59 of 91,0 of 0,---,0,2,0:35,24 of 44,3 of 6,5 of 7,21 of 41,7 of 11,4 of 5,Nad Narimani,0,45 of 69,65%,67 of 97,6 of 11,54%,0,0,10:05,37 of 56,5 of 10,3 of 3,14 of 32,5 of 7,26 of 30,Blue,Featherweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Justin Ledet,0,12 of 26,46%,28 of 42,0 of 1,0%,0,0,0:00,12 of 24,0 of 0,0 of 2,12 of 26,0 of 0,0 of 0,Aleksandar Rakic,1,104 of 144,72%,263 of 317,3 of 4,75%,0,0,12:20,88 of 122,5 of 5,11 of 17,24 of 42,2 of 4,78 of 98,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Davey Grant,0,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:17,1 of 2,0 of 1,3 of 3,4 of 6,0 of 0,0 of 0,Manny Bermudez,1,3 of 5,60%,3 of 5,0 of 0,---,2,0,0:21,3 of 5,0 of 0,0 of 0,2 of 4,0 of 0,1 of 1,Blue,Bantamweight,0,UFC Fight Night: Shogun vs. Smith,Submission,1,0:59
Jeremy Kimball,0,4 of 16,25%,4 of 16,0 of 1,0%,0,0,0:00,1 of 13,0 of 0,3 of 3,4 of 16,0 of 0,0 of 0,Darko Stosic,0,9 of 16,56%,9 of 17,0 of 0,---,0,0,0:12,8 of 12,0 of 2,1 of 2,1 of 5,0 of 0,8 of 11,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs. Smith,KO/TKO,1,3:13
Damian Stasiak,0,24 of 49,48%,30 of 55,3 of 8,37%,0,0,6:17,11 of 29,7 of 11,6 of 9,14 of 37,4 of 4,6 of 8,Pingyuan Liu,0,32 of 77,41%,59 of 106,1 of 1,100%,2,1,2:00,21 of 64,8 of 10,3 of 3,18 of 58,5 of 7,9 of 12,Blue,Bantamweight,0,UFC Fight Night: Shogun vs. Smith,Decision - Unanimous,3,5:00
Junior Dos Santos,0,110 of 248,44%,110 of 248,0 of 1,0%,0,0,0:00,66 of 170,41 of 75,3 of 3,110 of 248,0 of 0,0 of 0,Blagoy Ivanov,0,51 of 229,22%,51 of 229,0 of 0,---,0,0,0:03,40 of 213,10 of 15,1 of 1,49 of 227,2 of 2,0 of 0,Red,Heavyweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,5,5:00
Sage Northcutt,1,24 of 37,64%,37 of 50,1 of 1,100%,1,0,1:33,18 of 28,6 of 8,0 of 1,6 of 15,11 of 13,7 of 9,Zak Ottow,1,6 of 16,37%,33 of 47,1 of 4,25%,1,0,5:16,5 of 14,1 of 2,0 of 0,1 of 2,1 of 2,4 of 12,Red,Welterweight,0,UFC Fight Night: Dos Santos vs. Ivanov,KO/TKO,2,3:13
Dennis Bermudez,0,42 of 114,36%,56 of 132,6 of 14,42%,0,0,4:18,25 of 87,13 of 22,4 of 5,29 of 95,5 of 5,8 of 14,Ricky Glenn,0,48 of 137,35%,59 of 151,0 of 0,---,1,0,0:34,32 of 110,13 of 20,3 of 7,41 of 126,2 of 5,5 of 6,Blue,Featherweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Split,3,5:00
Randy Brown,0,13 of 37,35%,18 of 43,1 of 2,50%,0,0,1:39,9 of 29,3 of 4,1 of 4,7 of 22,4 of 7,2 of 8,Niko Price,0,12 of 39,30%,40 of 81,1 of 2,50%,0,1,1:44,9 of 33,1 of 3,2 of 3,2 of 23,1 of 4,9 of 12,Blue,Welterweight,0,UFC Fight Night: Dos Santos vs. Ivanov,KO/TKO,2,1:09
Myles Jury,0,3 of 12,25%,3 of 12,0 of 0,---,0,0,0:00,0 of 6,1 of 1,2 of 5,3 of 12,0 of 0,0 of 0,Chad Mendes,1,17 of 27,62%,17 of 27,0 of 0,---,0,0,0:26,16 of 24,0 of 0,1 of 3,2 of 5,0 of 0,15 of 22,Blue,Featherweight,0,UFC Fight Night: Dos Santos vs. Ivanov,KO/TKO,1,2:52
Cat Zingano,0,33 of 57,57%,94 of 123,6 of 10,60%,0,0,8:54,14 of 32,10 of 13,9 of 12,12 of 23,8 of 9,13 of 25,Marion Reneau,0,14 of 39,35%,35 of 62,0 of 0,---,0,0,1:16,10 of 34,3 of 4,1 of 1,8 of 33,6 of 6,0 of 0,Red,Women's Bantamweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,3,5:00
Eddie Wineland,0,48 of 183,26%,48 of 183,0 of 0,---,0,0,0:07,23 of 135,20 of 43,5 of 5,47 of 181,1 of 1,0 of 1,Alejandro Perez,0,53 of 214,24%,53 of 214,0 of 2,0%,0,0,0:03,40 of 197,4 of 7,9 of 10,52 of 212,1 of 2,0 of 0,Blue,Bantamweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,3,5:00
Darren Elkins,0,82 of 172,47%,93 of 184,1 of 6,16%,0,0,0:59,66 of 147,15 of 24,1 of 1,67 of 148,15 of 24,0 of 0,Alexander Volkanovski,2,100 of 144,69%,103 of 147,2 of 12,16%,3,0,3:27,76 of 118,11 of 13,13 of 13,81 of 118,18 of 25,1 of 1,Blue,Featherweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,3,5:00
Justin Scoggins,0,32 of 87,36%,32 of 87,0 of 1,0%,0,0,0:00,18 of 62,4 of 14,10 of 11,29 of 83,2 of 2,1 of 2,Said Nurmagomedov,0,65 of 113,57%,86 of 134,1 of 11,9%,0,0,2:00,40 of 83,13 of 16,12 of 14,45 of 91,14 of 15,6 of 7,Blue,Flyweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Split,3,5:00
Kurt Holobaugh,0,102 of 226,45%,130 of 256,1 of 3,33%,0,0,0:38,88 of 206,8 of 12,6 of 8,88 of 208,6 of 8,8 of 10,Raoni Barcelos,1,82 of 146,56%,95 of 160,3 of 4,75%,0,0,2:35,76 of 138,5 of 7,1 of 1,67 of 129,8 of 9,7 of 8,Blue,Featherweight,0,UFC Fight Night: Dos Santos vs. Ivanov,KO/TKO,3,1:29
Liz Carmouche,0,53 of 78,67%,109 of 135,3 of 4,75%,0,0,5:21,32 of 57,12 of 12,9 of 9,31 of 55,3 of 3,19 of 20,Jennifer Maia,0,42 of 104,40%,55 of 118,0 of 0,---,0,0,2:29,19 of 72,14 of 23,9 of 9,30 of 86,10 of 16,2 of 2,Red,Women's Flyweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,3,5:00
Mark De La Rosa,0,25 of 44,56%,26 of 45,2 of 3,66%,1,0,2:13,20 of 36,4 of 6,1 of 2,17 of 34,3 of 5,5 of 5,Elias Garcia,0,19 of 54,35%,41 of 76,0 of 0,---,0,0,0:00,6 of 36,3 of 6,10 of 12,17 of 52,2 of 2,0 of 0,Red,Flyweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Submission,2,2:00
Jessica Aguilar,0,128 of 199,64%,138 of 209,0 of 6,0%,0,0,1:34,83 of 150,32 of 36,13 of 13,85 of 151,43 of 48,0 of 0,Jodie Esquibel,0,81 of 190,42%,81 of 190,0 of 2,0%,0,0,1:27,54 of 152,27 of 38,0 of 0,73 of 178,8 of 12,0 of 0,Red,Women's Strawweight,0,UFC Fight Night: Dos Santos vs. Ivanov,Decision - Unanimous,3,5:00
Stipe Miocic,0,24 of 51,47%,29 of 56,1 of 1,100%,0,0,1:20,15 of 41,6 of 7,3 of 3,19 of 42,5 of 9,0 of 0,Daniel Cormier,1,25 of 37,67%,31 of 43,0 of 0,---,0,0,0:06,20 of 30,1 of 1,4 of 6,19 of 31,2 of 2,4 of 4,Blue,Heavyweight,1,UFC 226: Miocic vs. Cormier,KO/TKO,1,4:33
Francis Ngannou,0,11 of 46,23%,11 of 46,0 of 0,---,0,0,0:00,7 of 39,3 of 6,1 of 1,9 of 43,2 of 3,0 of 0,Derrick Lewis,0,20 of 54,37%,20 of 54,0 of 2,0%,0,0,0:01,1 of 26,11 of 18,8 of 10,18 of 52,2 of 2,0 of 0,Blue,Heavyweight,0,UFC 226: Miocic vs. Cormier,Decision - Unanimous,3,5:00
Paul Felder,0,56 of 120,46%,64 of 128,0 of 1,0%,0,0,0:45,27 of 79,16 of 24,13 of 17,48 of 110,7 of 9,1 of 1,Mike Perry,0,62 of 110,56%,66 of 114,2 of 3,66%,0,0,3:02,34 of 78,15 of 18,13 of 14,42 of 86,17 of 21,3 of 3,Blue,Welterweight,0,UFC 226: Miocic vs. Cormier,Decision - Split,3,5:00
Michael Chiesa,0,12 of 26,46%,19 of 35,2 of 6,33%,0,0,2:38,4 of 17,7 of 7,1 of 2,8 of 21,3 of 3,1 of 2,Anthony Pettis,0,9 of 22,40%,13 of 26,0 of 0,---,2,0,1:04,3 of 13,4 of 6,2 of 3,7 of 19,1 of 1,1 of 2,Blue,Lightweight,0,UFC 226: Miocic vs. Cormier,Submission,2,0:52
Gokhan Saki,0,5 of 11,45%,5 of 11,0 of 0,---,0,0,0:00,2 of 7,0 of 1,3 of 3,5 of 11,0 of 0,0 of 0,Khalil Rountree Jr.,1,9 of 17,52%,9 of 17,0 of 0,---,0,0,0:05,9 of 17,0 of 0,0 of 0,3 of 11,0 of 0,6 of 6,Blue,Light Heavyweight,0,UFC 226: Miocic vs. Cormier,KO/TKO,1,1:36
Uriah Hall,0,58 of 122,47%,58 of 122,0 of 1,0%,0,0,0:03,45 of 102,8 of 15,5 of 5,54 of 118,4 of 4,0 of 0,Paulo Costa,1,75 of 116,64%,76 of 117,0 of 0,---,0,0,0:08,39 of 73,33 of 40,3 of 3,66 of 105,8 of 9,1 of 2,Blue,Middleweight,0,UFC 226: Miocic vs. Cormier,KO/TKO,2,2:38
Raphael Assuncao,0,54 of 120,45%,93 of 161,2 of 2,100%,0,0,4:32,41 of 98,4 of 7,9 of 15,36 of 95,1 of 1,17 of 24,Rob Font,0,20 of 122,16%,20 of 122,0 of 0,---,0,0,0:00,12 of 105,6 of 10,2 of 7,20 of 122,0 of 0,0 of 0,Red,Bantamweight,0,UFC 226: Miocic vs. Cormier,Decision - Unanimous,3,5:00
Lando Vannata,0,50 of 133,37%,66 of 150,1 of 4,25%,0,0,1:02,18 of 80,15 of 30,17 of 23,37 of 114,13 of 19,0 of 0,Drakkar Klose,0,55 of 98,56%,73 of 118,1 of 4,25%,0,0,3:18,29 of 68,9 of 10,17 of 20,36 of 77,19 of 21,0 of 0,Blue,Lightweight,0,UFC 226: Miocic vs. Cormier,Decision - Unanimous,3,5:00
Curtis Millender,0,38 of 94,40%,40 of 96,1 of 1,100%,0,0,0:19,23 of 71,10 of 15,5 of 8,33 of 86,3 of 6,2 of 2,Max Griffin,0,44 of 99,44%,61 of 117,1 of 2,50%,0,0,4:17,28 of 75,7 of 14,9 of 10,34 of 85,1 of 3,9 of 11,Red,Welterweight,0,UFC 226: Miocic vs. Cormier,Decision - Unanimous,3,5:00
Dan Hooker,2,22 of 34,64%,22 of 34,0 of 0,---,1,0,0:15,12 of 23,4 of 4,6 of 7,19 of 31,0 of 0,3 of 3,Gilbert Burns,0,13 of 28,46%,13 of 29,0 of 1,0%,0,0,0:00,5 of 16,1 of 2,7 of 10,13 of 28,0 of 0,0 of 0,Red,Lightweight,0,UFC 226: Miocic vs. Cormier,KO/TKO,1,2:28
Jamie Moyle,0,50 of 117,42%,75 of 149,0 of 3,0%,0,0,0:38,24 of 81,13 of 22,13 of 14,47 of 110,1 of 4,2 of 3,Emily Whitmire,0,53 of 183,28%,111 of 264,1 of 2,50%,0,0,4:55,33 of 159,9 of 13,11 of 11,40 of 164,2 of 4,11 of 15,Blue,Women's Strawweight,0,UFC 226: Miocic vs. Cormier,Decision - Unanimous,3,5:00
Brad Tavares,0,40 of 174,22%,46 of 181,1 of 12,8%,0,0,2:06,34 of 163,3 of 8,3 of 3,37 of 164,1 of 8,2 of 2,Israel Adesanya,0,119 of 215,55%,127 of 223,0 of 2,0%,1,0,1:47,61 of 144,21 of 29,37 of 42,99 of 192,12 of 14,8 of 9,Blue,Middleweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Unanimous,5,5:00
Michael Trizano,0,42 of 71,59%,86 of 116,0 of 0,---,1,0,5:39,9 of 26,7 of 18,26 of 27,40 of 67,0 of 0,2 of 4,Joe Giannetti,0,29 of 75,38%,61 of 108,1 of 6,16%,0,0,2:51,3 of 43,11 of 17,15 of 15,27 of 69,2 of 4,0 of 2,Red,27 Lightweight,1,The Ultimate Fighter: Undefeated Finale,Decision - Split,3,5:00
Jay Cucciniello,0,14 of 64,21%,18 of 68,0 of 1,0%,0,0,0:00,8 of 55,5 of 8,1 of 1,13 of 60,1 of 3,0 of 1,Brad Katona,0,71 of 111,63%,117 of 167,2 of 7,28%,0,0,8:19,42 of 74,8 of 13,21 of 24,50 of 81,0 of 0,21 of 30,Blue,27 Featherweight,1,The Ultimate Fighter: Undefeated Finale,Decision - Unanimous,3,5:00
Alex Caceres,0,82 of 159,51%,86 of 163,0 of 1,0%,0,0,0:43,60 of 134,20 of 23,2 of 2,78 of 147,4 of 9,0 of 3,Martin Bravo,0,78 of 236,33%,109 of 270,3 of 9,33%,0,0,3:41,61 of 204,10 of 17,7 of 15,66 of 210,7 of 16,5 of 10,Red,Featherweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Split,3,5:00
Roxanne Modafferi,0,51 of 129,39%,86 of 172,1 of 1,100%,0,0,5:24,50 of 128,1 of 1,0 of 0,20 of 79,0 of 0,31 of 50,Barb Honchak,0,24 of 80,30%,24 of 80,0 of 1,0%,0,0,0:00,23 of 76,1 of 4,0 of 0,24 of 80,0 of 0,0 of 0,Red,Women's Flyweight,0,The Ultimate Fighter: Undefeated Finale,KO/TKO,2,3:32
Alessio Di Chirico,0,50 of 116,43%,55 of 122,4 of 6,66%,0,0,3:58,30 of 90,14 of 19,6 of 7,48 of 107,1 of 2,1 of 7,Julian Marquez,0,47 of 147,31%,49 of 149,0 of 1,0%,2,0,0:03,28 of 120,16 of 21,3 of 6,42 of 141,5 of 6,0 of 0,Red,Middleweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Split,3,5:00
Montana De La Rosa,0,56 of 149,37%,86 of 179,0 of 6,0%,1,0,4:14,46 of 134,7 of 12,3 of 3,39 of 120,2 of 9,15 of 20,Rachael Ostovich,0,40 of 96,41%,48 of 106,0 of 0,---,1,0,0:02,23 of 69,15 of 23,2 of 4,36 of 92,4 of 4,0 of 0,Red,Women's Flyweight,0,The Ultimate Fighter: Undefeated Finale,Submission,3,4:21
Luis Pena,1,8 of 23,34%,8 of 23,1 of 1,100%,1,1,1:01,8 of 22,0 of 1,0 of 0,8 of 20,0 of 1,0 of 2,Richie Smullen,0,7 of 9,77%,15 of 17,2 of 3,66%,0,0,1:40,3 of 5,1 of 1,3 of 3,3 of 5,0 of 0,4 of 4,Red,Lightweight,0,The Ultimate Fighter: Undefeated Finale,Submission,1,3:32
John Gunther,0,27 of 71,38%,94 of 152,8 of 19,42%,0,0,11:08,22 of 61,2 of 6,3 of 4,20 of 62,5 of 7,2 of 2,Allan Zuniga,0,59 of 112,52%,93 of 147,0 of 0,---,1,0,0:00,33 of 78,18 of 24,8 of 10,44 of 96,14 of 15,1 of 1,Red,Lightweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Majority,3,5:00
Tyler Diamond,0,51 of 107,47%,72 of 129,3 of 4,75%,0,2,8:32,34 of 88,12 of 14,5 of 5,20 of 62,1 of 5,30 of 40,Bryce Mitchell,0,38 of 69,55%,45 of 78,3 of 10,30%,1,0,2:15,29 of 50,9 of 18,0 of 1,13 of 39,7 of 10,18 of 20,Blue,Featherweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Majority,3,5:00
Matt Bessette,0,57 of 141,40%,88 of 177,0 of 3,0%,0,1,1:32,42 of 121,12 of 15,3 of 5,45 of 125,10 of 14,2 of 2,Steven Peterson,0,74 of 175,42%,115 of 220,2 of 6,33%,1,1,7:13,44 of 141,19 of 23,11 of 11,46 of 136,16 of 25,12 of 14,Blue,Featherweight,0,The Ultimate Fighter: Undefeated Finale,Decision - Split,3,5:00
Gerald Meerschaert,0,51 of 104,49%,98 of 159,3 of 4,75%,2,1,2:30,43 of 95,6 of 7,2 of 2,9 of 43,20 of 28,22 of 33,Oskar Piechota,1,23 of 53,43%,31 of 63,1 of 1,100%,2,0,3:21,17 of 46,3 of 4,3 of 3,18 of 42,3 of 7,2 of 4,Red,Middleweight,0,The Ultimate Fighter: Undefeated Finale,Submission,2,4:55
Donald Cerrone,0,60 of 131,45%,64 of 136,1 of 9,11%,0,0,2:43,17 of 67,30 of 40,13 of 24,48 of 115,11 of 15,1 of 1,Leon Edwards,0,84 of 166,50%,101 of 185,0 of 4,0%,0,0,0:48,37 of 105,19 of 27,28 of 34,62 of 140,22 of 26,0 of 0,Blue,Welterweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Unanimous,5,5:00
Ovince Saint Preux,0,7 of 12,58%,13 of 18,0 of 1,0%,1,0,0:34,5 of 9,2 of 3,0 of 0,4 of 8,0 of 0,3 of 4,Tyson Pedro,1,9 of 12,75%,10 of 13,0 of 4,0%,1,0,1:19,5 of 6,3 of 4,1 of 2,6 of 8,3 of 4,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Cowboy vs. Edwards,Submission,1,2:54
Jessica-Rose Clark,0,51 of 139,36%,51 of 139,0 of 0,---,0,0,0:02,30 of 111,13 of 18,8 of 10,46 of 132,4 of 5,1 of 2,Jessica Eye,0,67 of 225,29%,74 of 232,1 of 2,50%,0,0,2:05,38 of 182,23 of 35,6 of 8,60 of 217,0 of 0,7 of 8,Blue,Women's Flyweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Unanimous,3,5:00
Li Jingliang,0,96 of 206,46%,96 of 206,0 of 0,---,0,0,0:00,32 of 111,13 of 23,51 of 72,95 of 205,1 of 1,0 of 0,Daichi Abe,0,45 of 154,29%,45 of 154,0 of 0,---,0,0,0:00,24 of 123,1 of 6,20 of 25,45 of 153,0 of 1,0 of 0,Red,Welterweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Unanimous,3,5:00
Teruto Ishihara,0,11 of 30,36%,11 of 30,0 of 2,0%,0,0,0:18,4 of 18,2 of 5,5 of 7,9 of 28,2 of 2,0 of 0,Petr Yan,2,25 of 40,62%,29 of 45,0 of 0,---,0,0,0:04,18 of 32,7 of 8,0 of 0,19 of 31,1 of 1,5 of 8,Blue,Bantamweight,0,UFC Fight Night: Cowboy vs. Edwards,KO/TKO,1,3:28
Felipe Arantes,0,8 of 31,25%,9 of 32,0 of 2,0%,0,0,0:16,7 of 27,0 of 3,1 of 1,8 of 31,0 of 0,0 of 0,Song Yadong,1,39 of 100,39%,88 of 155,1 of 1,100%,1,0,6:14,26 of 80,7 of 13,6 of 7,14 of 63,4 of 5,21 of 32,Blue,Bantamweight,0,UFC Fight Night: Cowboy vs. Edwards,KO/TKO,2,4:59
Rolando Dy,0,57 of 152,37%,58 of 153,0 of 0,---,0,0,0:00,41 of 131,13 of 18,3 of 3,49 of 140,8 of 12,0 of 0,Shane Young,0,104 of 215,48%,116 of 230,1 of 5,20%,0,0,1:44,74 of 183,20 of 22,10 of 10,89 of 191,15 of 24,0 of 0,Blue,Featherweight,0,UFC Fight Night: Cowboy vs. Edwards,KO/TKO,2,4:40
Song Kenan,1,32 of 71,45%,34 of 76,0 of 0,---,0,0,0:04,17 of 52,3 of 5,12 of 14,27 of 64,0 of 0,5 of 7,Hector Aldana,0,39 of 90,43%,41 of 92,2 of 2,100%,0,0,0:11,17 of 59,6 of 10,16 of 21,38 of 89,0 of 0,1 of 1,Red,Welterweight,0,UFC Fight Night: Cowboy vs. Edwards,KO/TKO,2,4:45
Shinsho Anzai,0,1 of 5,20%,6 of 13,0 of 1,0%,0,0,0:56,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0,Jake Matthews,0,12 of 19,63%,18 of 25,1 of 1,100%,1,0,1:00,9 of 16,3 of 3,0 of 0,5 of 8,5 of 8,2 of 3,Blue,Welterweight,0,UFC Fight Night: Cowboy vs. Edwards,Submission,1,2:44
Viviane Pereira,0,44 of 212,20%,44 of 212,0 of 0,---,0,0,0:00,34 of 189,10 of 23,0 of 0,43 of 210,1 of 2,0 of 0,Yan Xiaonan,0,71 of 227,31%,71 of 227,0 of 0,---,0,0,0:00,42 of 174,2 of 8,27 of 45,71 of 226,0 of 1,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Unanimous,3,5:00
Matt Schnell,0,71 of 183,38%,79 of 192,0 of 1,0%,0,0,0:00,43 of 141,5 of 12,23 of 30,68 of 177,3 of 6,0 of 0,Naoki Inoue,0,48 of 196,24%,64 of 212,0 of 1,0%,0,0,0:37,35 of 172,2 of 4,11 of 20,42 of 190,6 of 6,0 of 0,Red,Flyweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Split,3,5:00
Jenel Lausa,0,7 of 14,50%,9 of 16,0 of 0,---,0,0,0:12,4 of 10,2 of 3,1 of 1,5 of 12,0 of 0,2 of 2,Yuta Sasaki,0,25 of 56,44%,34 of 66,5 of 7,71%,1,0,6:51,18 of 46,6 of 8,1 of 2,6 of 17,4 of 5,15 of 34,Blue,Flyweight,0,UFC Fight Night: Cowboy vs. Edwards,Submission,2,4:04
Ji Yeon Kim,0,73 of 241,30%,93 of 261,0 of 0,---,0,0,2:26,46 of 205,22 of 29,5 of 7,52 of 215,21 of 26,0 of 0,Melinda Fabian,0,72 of 173,41%,79 of 180,0 of 1,0%,0,0,0:02,39 of 127,11 of 18,22 of 28,66 of 154,6 of 19,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Cowboy vs. Edwards,Decision - Split,3,5:00
Robert Whittaker,0,128 of 326,39%,129 of 328,0 of 1,0%,0,0,0:37,57 of 225,23 of 39,48 of 62,119 of 308,9 of 17,0 of 1,Yoel Romero,2,111 of 240,46%,149 of 287,3 of 10,30%,0,0,4:21,76 of 194,19 of 27,16 of 19,66 of 177,25 of 40,20 of 23,Red,Middleweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Split,5,5:00
Rafael Dos Anjos,0,105 of 198,53%,130 of 223,3 of 6,50%,0,0,2:14,54 of 139,37 of 45,14 of 14,70 of 163,32 of 32,3 of 3,Colby Covington,0,99 of 296,33%,142 of 346,7 of 18,38%,0,0,12:37,54 of 229,14 of 33,31 of 34,90 of 278,8 of 16,1 of 2,Blue,Welterweight,1,UFC 225: Whittaker vs. Romero 2,Decision - Unanimous,5,5:00
Holly Holm,0,47 of 71,66%,143 of 176,4 of 8,50%,1,0,10:43,27 of 47,12 of 14,8 of 10,19 of 35,8 of 10,20 of 26,Megan Anderson,0,26 of 58,44%,48 of 81,0 of 0,---,0,1,0:00,15 of 42,11 of 16,0 of 0,19 of 48,7 of 10,0 of 0,Red,Women's Featherweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Unanimous,3,5:00
Andrei Arlovski,0,51 of 125,40%,52 of 126,0 of 2,0%,0,0,0:38,32 of 97,7 of 10,12 of 18,46 of 116,5 of 7,0 of 2,Tai Tuivasa,1,54 of 120,45%,54 of 120,0 of 0,---,0,0,1:39,36 of 98,12 of 15,6 of 7,49 of 109,5 of 11,0 of 0,Blue,Heavyweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Unanimous,3,5:00
