R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Kendall Grove,0,13 of 26,50%,22 of 36,1 of 1,100%,1,1,2:43,12 of 25,1 of 1,0 of 0,1 of 4,1 of 1,11 of 21,Chris Price,0,5 of 10,50%,7 of 12,0 of 0,---,0,1,0:36,2 of 7,3 of 3,0 of 0,2 of 5,3 of 3,0 of 2,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,KO/TKO,1,3:59
Jason MacDonald,0,5 of 7,71%,14 of 16,0 of 1,0%,2,1,0:57,4 of 5,0 of 0,1 of 2,2 of 4,0 of 0,3 of 3,Ed Herman,0,2 of 2,100%,5 of 5,1 of 2,50%,0,1,1:18,0 of 0,0 of 0,2 of 2,2 of 2,0 of 0,0 of 0,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,1,2:43
Matt Hamill,0,14 of 40,35%,105 of 148,7 of 11,63%,0,0,10:08,11 of 37,0 of 0,3 of 3,8 of 29,3 of 5,3 of 6,Seth Petruzelli,1,25 of 58,43%,54 of 88,0 of 0,---,1,0,0:11,11 of 41,8 of 10,6 of 7,21 of 49,3 of 6,1 of 3,Red,Light Heavyweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00
Nate Marquardt,0,13 of 27,48%,31 of 47,2 of 3,66%,2,1,3:35,7 of 20,2 of 2,4 of 5,7 of 16,0 of 0,6 of 11,Crafton Wallace,0,4 of 18,22%,27 of 41,0 of 0,---,0,0,0:45,3 of 16,0 of 1,1 of 1,4 of 17,0 of 0,0 of 1,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,2,1:14
Tony DeSouza,0,5 of 5,100%,12 of 12,1 of 1,100%,1,0,3:39,5 of 5,0 of 0,0 of 0,0 of 0,0 of 0,5 of 5,Dustin Hazelett,0,1 of 4,25%,1 of 4,0 of 0,---,1,0,0:00,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,1,3:59
Rory Singer,0,50 of 123,40%,57 of 130,0 of 1,0%,0,0,1:16,44 of 117,5 of 5,1 of 1,38 of 100,12 of 22,0 of 1,Josh Haynes,1,23 of 101,22%,32 of 113,1 of 6,16%,0,0,2:54,15 of 87,4 of 9,4 of 5,12 of 74,2 of 7,9 of 20,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00
Thiago Alves,0,63 of 142,44%,84 of 164,0 of 0,---,0,0,1:16,27 of 95,11 of 13,25 of 34,41 of 104,15 of 23,7 of 15,John Alessio,0,13 of 82,15%,18 of 87,2 of 10,20%,0,0,4:11,12 of 79,0 of 2,1 of 1,10 of 72,2 of 9,1 of 1,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00
Marcus Davis,0,33 of 50,66%,66 of 88,0 of 0,---,1,0,0:50,17 of 33,8 of 9,8 of 8,5 of 11,20 of 24,8 of 15,Forrest Petz,0,5 of 18,27%,19 of 35,0 of 0,---,0,0,0:21,2 of 14,2 of 3,1 of 1,1 of 9,4 of 9,0 of 0,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,1,4:58
Matt Hughes,0,35 of 88,39%,77 of 133,1 of 9,11%,0,0,6:59,28 of 78,5 of 8,2 of 2,20 of 58,4 of 7,11 of 23,BJ Penn,0,17 of 37,45%,49 of 70,0 of 1,0%,2,1,1:58,10 of 28,7 of 9,0 of 0,8 of 25,7 of 10,2 of 2,Red,Welterweight,1,UFC 63: Hughes vs Penn,KO/TKO,3,3:53
Mike Swick,0,32 of 93,34%,63 of 125,3 of 7,42%,0,0,3:29,12 of 66,9 of 13,11 of 14,17 of 72,13 of 18,2 of 3,David Loiseau,0,36 of 68,52%,44 of 76,1 of 1,100%,0,0,2:42,21 of 47,4 of 8,11 of 13,12 of 40,19 of 22,5 of 6,Red,Middleweight,0,UFC 63: Hughes vs Penn,Decision - Unanimous,3,5:00
