First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,Link,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,17,1,0,http://ufcstats.com/fighter-details/d156513a19acf856,3.30,44%,3.57,53%,0.07,0.07,16%,82%,0.1
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,0,http://ufcstats.com/fighter-details/20821819c401ced8,2.27,24%,5.91,63%,0.00,0.00,0%,20%,0.0
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,0,http://ufcstats.com/fighter-details/1e327b281ef6a745,3.29,47%,0.82,78%,5.84,5.84,56%,100%,0.0
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,5.53,35%,24.47,33%,0.00,0.00,0%,100%,0.0
Rayanne,Amanda,,--,115 lbs.,--,,11,5,0,0,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Chris,Amarante,,--,185 lbs.,--,,2,0,0,0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,0,http://ufcstats.com/fighter-details/c912f676692c353a,0.83,29%,3.76,40%,3.13,3.13,57%,100%,0.8
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,0,http://ufcstats.com/fighter-details/d562b12b8fe88336,3.16,69%,6.32,33%,0.00,0.00,0%,50%,0.0
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,3,0,0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,0.55,25%,3.91,36%,0.00,0.00,0%,0%,0.0
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,7,0,0,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,1.36,43%,2.41,51%,4.08,4.08,43%,50%,1.2
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,0,http://ufcstats.com/fighter-details/53adf5b845d91e4a,6.75,39%,2.01,83%,0.00,0.00,0%,0%,0.0
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,0,http://ufcstats.com/fighter-details/23a8c33869bf5392,1.47,34%,2.67,54%,0.00,0.00,0%,25%,1.0
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,14,7,0,0,http://ufcstats.com/fighter-details/cad24459b28592ca,3.26,47%,4.20,50%,1.57,1.57,25%,75%,0.1
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,0,http://ufcstats.com/fighter-details/8738eacd62e82a32,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,0,http://ufcstats.com/fighter-details/9199e0735b83dd32,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,0,http://ufcstats.com/fighter-details/1ffc38f67785797b,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,0,http://ufcstats.com/fighter-details/5e4eec08896c9423,4.43,46%,2.22,59%,4.89,4.89,50%,83%,0.0
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,0,http://ufcstats.com/fighter-details/19ba965651486013,3.97,37%,3.08,61%,0.34,0.34,14%,60%,0.0
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,0,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,1.76,46%,3.35,37%,0.52,0.52,25%,53%,0.5
Tatsuya,Ando,,--,135 lbs.,--,,13,3,1,0,http://ufcstats.com/fighter-details/17615148dd4be6f6,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,0,http://ufcstats.com/fighter-details/1562b12763cc8d67,0.20,36%,2.60,53%,0.00,0.00,0%,25%,0.8
Jessica,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,23,9,0,0,http://ufcstats.com/fighter-details/6a1901c62ab3870f,6.16,50%,5.16,53%,2.85,2.85,55%,66%,0.5
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,0,http://ufcstats.com/fighter-details/d221ee27afc7a60e,3.26,42%,2.77,63%,1.93,1.93,50%,66%,0.3
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,0,http://ufcstats.com/fighter-details/9bad58fa651d6196,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Juan,Andres Luna,,--,125 lbs.,--,,12,0,0,0,http://ufcstats.com/fighter-details/1fd9f744105024a8,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,0,http://ufcstats.com/fighter-details/00debc804e2b1cd4,2.21,50%,2.72,46%,2.83,2.83,50%,57%,0.4
