Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Iuri Alcantara,Marajo,5.75,135.0,71.0,Southpaw,35,10,0,0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,Marajo,6.17,185.0,78.0,Orthodox,21,11,0,0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso Alcarez,,5.25,145.0,,,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert Aldana,El Peligro,6.08,250.0,,Orthodox,6,2,0,0,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene Aldana,,5.75,135.0,68.0,Orthodox,13,6,0,0,5.61,0.39,5.94,0.6,0.22,0.5,0.84,0.1,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,,5.92,170.0,72.0,Orthodox,4,3,0,0,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,Pochito,5.58,135.0,68.0,Orthodox,14,6,1,0,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,,5.58,135.0,70.0,Orthodox,31,7,0,0,3.61,0.46,3.74,0.6,0.51,0.54,0.9,0.2,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,,5.42,125.0,67.0,Southpaw,11,5,0,0,4.05,0.45,4.54,0.6,0.9,0.37,0.75,0.0,http://ufcstats.com/fighter-details/6fd953151d981979
Jim Alers,The Beast,5.75,145.0,71.0,Orthodox,13,3,0,0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab
John Alessio,The Natural,5.83,155.0,72.0,Orthodox,35,17,0,0,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston Alexander,The Assassin,6.0,205.0,72.0,Orthodox,17,15,1,0,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth Alexander,The Machine,5.75,155.0,,Orthodox,7,6,0,0,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Marcio Alexandre Junior,Lyoto,6.0,185.0,75.0,Southpaw,17,4,0,0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf Alfonso,,6.17,170.0,,Orthodox,8,12,0,0,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo Alfonso,The Hurricane,5.67,145.0,,,9,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi Alford,,,,,,1,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill Algeo,Senor Perfecto,6.0,145.0,73.0,Switch,16,6,0,0,5.73,0.54,4.18,0.43,0.92,0.5,0.54,0.0,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce Alger,,5.83,199.0,,Orthodox,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir Aliakbari,,6.25,250.0,,,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan Aliev,,5.92,170.0,74.0,Orthodox,15,3,0,0,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Ikram Aliskerov,,6.0,185.0,,,12,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon Aliu,,6.0,185.0,,,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John Allan,,6.08,205.0,75.0,Orthodox,13,7,0,0,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George Allen,,6.17,205.0,,Open Stance,13,19,2,0,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold Allen,Almighty,5.67,145.0,70.0,Southpaw,18,1,0,0,3.31,0.42,2.22,0.66,1.41,0.5,0.76,0.4,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,All In,6.17,185.0,75.0,Orthodox,19,5,0,0,4.15,0.55,4.18,0.44,1.2,0.41,0.5,1.4,http://ufcstats.com/fighter-details/2f181c0467965b98
Ben Alloway,Blanco,5.92,170.0,76.0,Orthodox,18,8,0,0,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Ricardo Almeida,Big Dog,6.0,170.0,74.0,Orthodox,13,5,0,0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno Almeida,,6.0,155.0,,,10,3,0,0,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas Almeida,Thominhas,5.58,145.0,70.0,Southpaw,22,5,0,0,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka Almeida,,5.5,115.0,,Orthodox,7,3,0,0,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani Almeida,,5.33,125.0,,Orthodox,7,3,0,0,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton Almeida,Malhadinho,6.25,205.0,79.0,Orthodox,16,2,0,0,3.48,0.53,0.49,0.12,6.27,0.66,0.5,2.1,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,,5.92,145.0,71.0,Orthodox,13,1,0,0,6.6,0.47,5.63,0.48,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Mauricio Alonso,,6.17,170.0,,,13,7,0,0,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah Alpar,Too Sweet,5.33,135.0,63.0,Southpaw,9,6,0,0,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,The Royal Fighter,5.5,135.0,68.0,Orthodox,8,5,0,0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico Altamirano,,5.83,170.0,,,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor Altamirano,El Magnifico,5.67,125.0,70.0,Switch,10,2,0,0,5.97,0.57,5.23,0.5,2.5,0.41,0.72,0.0,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike Altman,,5.83,185.0,,Orthodox,1,4,0,0,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c11036da9162cb5f
