Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Rob MacDonald,Maximus,6.25,205.0,78.0,Orthodox,5,4,0,0,1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64
Rory MacDonald,Red King,6.0,170.0,76.0,Orthodox,19,4,0,0,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e
Ryan MacDonald,Main Event,5.92,135.0,71.0,Switch,10,2,0,0,2.28,0.29,6.49,0.45,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/35e1f9984ed64206
Veronica Macedo,,5.33,125.0,64.0,Southpaw,6,4,1,0,3.13,0.39,5.06,0.43,0.57,0.18,0.46,0.6,http://ufcstats.com/fighter-details/4798e823ada58fe9
Clayton MacFarlane,,,170.0,,,4,1,0,0,1.33,0.52,1.82,0.55,1.05,0.33,0.37,0.0,http://ufcstats.com/fighter-details/39831e62d12e7ad1
Ilima Macfarlane,,5.33,125.0,,,6,0,0,0,4.13,0.43,2.93,0.65,0.0,0.0,0.5,1.0,http://ufcstats.com/fighter-details/8cf90e41646491fd
Valesca Machado,Tina Black,5.33,115.0,63.0,Orthodox,8,3,0,0,2.4,0.32,2.87,0.64,0.0,0.0,0.76,0.0,http://ufcstats.com/fighter-details/a1a91dbf41a029c4
Caio Machado,Lionheart,,145.0,,,14,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/89839250eb25c9c1
Lyoto Machida,The Dragon,6.08,185.0,74.0,Southpaw,24,8,0,0,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6
War Machine,,5.92,170.0,,Orthodox,14,5,0,0,2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0
Anthony Macias,Mad Dog,5.75,185.0,,Switch,26,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dedc3bb440d09554
Pauline Macias,PITA,5.33,115.0,64.0,Southpaw,4,1,0,0,0.8,0.29,4.6,0.42,2.0,0.18,0.0,0.0,http://ufcstats.com/fighter-details/e88b83dea18f5d31
Reza Madadi,Mad Dog,5.92,155.0,73.0,Orthodox,14,6,0,0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1
Don Madge,Magic Man,6.0,155.0,72.0,Southpaw,9,3,1,0,2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7,http://ufcstats.com/fighter-details/68c7ad953455c73f
Ryan Madigan,,6.0,170.0,,Orthodox,5,3,0,0,0.0,0.0,3.35,0.47,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a8d521d913df4e31
Jon Madsen,,6.0,240.0,72.0,Orthodox,8,2,0,0,2.46,0.41,1.18,0.81,1.32,0.71,0.7,0.0,http://ufcstats.com/fighter-details/7691a80e6ca3e55b
Mark Madsen,The Olympian,5.67,155.0,72.0,Orthodox,12,0,0,0,3.77,0.47,3.92,0.55,3.9,0.66,0.5,0.0,http://ufcstats.com/fighter-details/da0995f19b749cfa
Yoshiro Maeda,,5.58,139.0,68.0,Southpaw,35,16,5,0,2.36,0.33,2.55,0.63,2.93,0.51,0.5,0.7,http://ufcstats.com/fighter-details/a4bf17bd3ba3423b
Leonardo Mafra,Macarrao,5.83,155.0,70.0,Orthodox,13,4,0,0,4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1
Vinny Magalhaes,Pezao,6.25,205.0,75.0,Orthodox,14,9,0,0,2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8,http://ufcstats.com/fighter-details/88a9bc81271ccd89
Vinicius Magalhaes,Draculinho,,145.0,,,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1b583c64c23f0c7f
Caio Magalhaes,Hellboy,6.08,185.0,73.0,Orthodox,10,3,0,0,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6,http://ufcstats.com/fighter-details/0c5c66ddd1886b83
Bernardo Magalhaes,Trekko,5.75,155.0,,Orthodox,13,4,0,0,1.8,0.27,3.37,0.68,0.0,0.0,0.0,0.5,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8
Eric Magana,,,,,,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8db1b36dde268ef6
Brandon Magana,,,170.0,,Orthodox,6,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2015c944226ad2df
Angela Magana,Your Majesty,5.08,115.0,65.0,Orthodox,11,9,0,0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,http://ufcstats.com/fighter-details/bd878a638e0e3be3
Neil Magny,The Haitian Sensation,6.25,170.0,80.0,Orthodox,26,10,0,0,3.59,0.46,2.16,0.55,2.31,0.4,0.57,0.3,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Ibragim Magomedov,,6.0,250.0,,Orthodox,22,8,1,0,0.26,0.04,3.86,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e7e970d508529bf3
Rashid Magomedov,Highlander,5.75,155.0,70.0,Orthodox,20,2,0,0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,http://ufcstats.com/fighter-details/7ea1f74cef32f906
Ruslan Magomedov,Leopard,6.25,242.0,78.0,Orthodox,14,1,0,0,4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0,http://ufcstats.com/fighter-details/369e1ce458ef50a6
Abus Magomedov,,6.17,185.0,,,24,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Zabit Magomedsharipov,,6.08,145.0,73.0,Orthodox,18,1,0,0,4.89,0.48,3.0,0.64,5.22,0.56,0.77,0.8,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1
John Maguire,The One,5.75,155.0,69.0,Southpaw,24,9,0,0,1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1,http://ufcstats.com/fighter-details/1a7745388839e52b
Lolohea Mahe,,,,,,10,4,1,0,1.71,0.29,6.92,0.4,2.44,0.4,0.0,0.0,http://ufcstats.com/fighter-details/fb0b6593cec84356
Michelle Maher,,,145.0,,,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/118463dd8db16e7f
,,6.0,155.0,71.0,Orthodox,9,1,0,0,3.45,0.31,3.39,0.57,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8c1ca54b5089d199
Bill Mahood,The Butcher,6.25,200.0,,Orthodox,20,7,1,0,1.54,0.85,3.59,0.17,0.0,0.0,0.0,3.9,http://ufcstats.com/fighter-details/ae58685caf8e4a0d
Klayton Mai,,5.75,125.0,,,8,3,0,0,1.53,0.42,1.02,0.63,3.83,1.0,0.0,7.7,http://ufcstats.com/fighter-details/7a9c1bb08a743d7f
Demian Maia,,6.08,170.0,72.0,Southpaw,28,11,0,0,1.8,0.43,2.07,0.63,2.49,0.24,0.61,1.0,http://ufcstats.com/fighter-details/427b5953ac8e3a27
Jennifer Maia,,5.33,125.0,64.0,Orthodox,19,9,1,0,3.61,0.36,4.24,0.54,0.33,0.3,0.55,0.1,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Nayara Maia,,,125.0,,,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/03b1b79b34eaf217
Roshan Mainam,The Indian Notorious,,135.0,,,6,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b301292b1bc92bdb
Levan Makashvili,The Hornet,5.67,145.0,68.0,Orthodox,15,2,1,0,2.87,0.54,2.07,0.61,3.67,0.42,0.85,0.0,http://ufcstats.com/fighter-details/938ad489fb7a1f31
John Makdessi,The Bull,5.67,155.0,68.0,Orthodox,18,7,0,0,5.57,0.51,4.02,0.69,0.0,0.0,0.89,0.0,http://ufcstats.com/fighter-details/c21a036b4e012f1c
Islam Makhachev,,5.83,155.0,70.0,Southpaw,22,1,0,0,2.27,0.57,0.84,0.68,3.41,0.65,0.88,1.2,http://ufcstats.com/fighter-details/275aca31f61ba28c
Aliev Makhmud,,5.5,195.0,,Southpaw,0,1,0,0,1.12,0.3,2.24,0.36,2.1,0.5,0.0,0.0,http://ufcstats.com/fighter-details/3d481aa374c954a1
Zach Makovsky,Fun Size,5.33,125.0,64.0,Southpaw,20,8,0,0,1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30
Jeremy Malaterre,,5.92,155.0,,,4,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/110404b505fb562c
Fabio Maldonado,Caipira de Aco,6.08,205.0,75.0,Orthodox,23,11,0,0,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,http://ufcstats.com/fighter-details/1fb80f46d3c105d9
Marvin Maldonado,The Bulldog,5.5,135.0,,,2,4,0,0,0.87,0.56,3.47,0.43,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/e5ce754b01f922be
Bea Malecki,,5.75,135.0,74.0,Orthodox,4,1,0,0,6.84,0.46,6.96,0.62,0.0,0.0,0.78,1.1,http://ufcstats.com/fighter-details/b60c980f79b87ce8
Nazareno Malegarie,El Tigre,5.67,155.0,,,28,4,0,0,3.87,0.34,3.27,0.69,1.0,0.33,0.0,0.0,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051
Carl Malenko,,5.92,200.0,,Orthodox,6,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a314687f372b2cec
Jacob Malkoun,Mamba,5.75,185.0,73.0,Orthodox,6,2,0,0,3.09,0.58,2.76,0.43,6.95,0.38,0.0,0.7,http://ufcstats.com/fighter-details/d4270315cbcf2569
Mike Malott,Proper,6.08,170.0,73.0,Orthodox,8,1,1,0,5.02,0.4,4.19,0.54,1.55,0.33,0.0,0.8,http://ufcstats.com/fighter-details/dd6103dd7127db1d
Troy Mandaloniz,Rude Boy,5.75,170.0,,Orthodox,3,2,0,0,3.52,0.56,4.71,0.63,3.1,0.66,0.57,0.0,http://ufcstats.com/fighter-details/725a834930c2b5bf
Nate Maness,Mayhem,5.83,135.0,72.0,Orthodox,14,2,0,0,1.95,0.42,4.79,0.4,1.01,0.75,0.77,0.3,http://ufcstats.com/fighter-details/6e9f40c706f91f32
Michael Mangan,,,155.0,,,0,3,0,0,1.94,0.33,4.52,0.46,19.35,0.5,1.0,0.0,http://ufcstats.com/fighter-details/9297ce6eee046f7a
Gary Mangat,,5.58,135.0,,,15,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1c0ffc63d8ec8f45
Melvin Manhoef,No Mercy,5.75,185.0,,Orthodox,30,14,1,0,3.52,0.48,2.64,0.51,0.33,0.25,0.78,0.0,http://ufcstats.com/fighter-details/e5767ed355a937c2
Melchor Manibusan,Barracuda,5.42,154.0,,Southpaw,2,4,0,0,1.58,0.54,5.79,0.15,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b6c6d1731ff00eeb
Jon Manley,,6.08,170.0,,Orthodox,9,4,0,0,1.13,0.2,4.33,0.45,1.0,0.07,0.2,0.0,http://ufcstats.com/fighter-details/a0602dd050bebefc
Steve Mann,,6.08,170.0,,,12,5,0,0,3.18,0.7,0.66,0.57,1.64,1.0,0.6,0.0,http://ufcstats.com/fighter-details/0eef1bf99afd4ff2
Marnic Mann,The Sawed-Off Savage,5.0,115.0,,,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b6203e0492a9336c
Chris Manuel,,5.75,135.0,,Orthodox,9,7,2,0,2.53,0.4,2.67,0.66,1.0,0.2,1.0,0.0,http://ufcstats.com/fighter-details/a23e63184c65f5b8
Jimi Manuwa,Poster Boy,6.08,205.0,79.0,Orthodox,17,6,0,0,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
Cristiano Marcello,,5.75,155.0,72.0,Orthodox,13,6,0,0,2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3
Jose Maria,No Chance,5.42,125.0,,Orthodox,37,7,0,0,3.2,0.53,3.98,0.52,2.32,0.27,0.33,2.3,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3
Marcos Mariano,Dhalsim,6.08,155.0,76.0,Switch,6,6,0,0,0.25,0.27,2.11,0.43,0.0,0.0,0.28,0.0,http://ufcstats.com/fighter-details/72e5e5a6edfa8223
Enrique Marin,Wasabi,5.83,170.0,,,10,4,0,0,1.43,0.33,3.0,0.5,2.5,0.38,0.6,1.0,http://ufcstats.com/fighter-details/23a6e307077c6ccc
Ronny Markes,,6.08,185.0,75.0,Orthodox,17,5,0,0,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee
Rory Markham,,6.0,170.0,71.0,Orthodox,17,6,0,0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/23a16ebe733e3041
Randa Markos,Quiet Storm,5.33,115.0,63.0,Orthodox,11,12,1,0,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2,http://ufcstats.com/fighter-details/4a57ebb14315b251
Christina Marks,,5.58,125.0,69.0,Orthodox,8,9,0,0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,http://ufcstats.com/fighter-details/c7be22a47a58365a
Nate Marquardt,The Great,6.0,185.0,74.0,Orthodox,35,19,2,0,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8,http://ufcstats.com/fighter-details/a8e6a69796280f17
Danilo Marques,,6.5,205.0,77.0,Orthodox,11,4,0,0,1.44,0.79,2.52,0.52,3.93,0.28,0.0,0.8,http://ufcstats.com/fighter-details/687c15b2eddfaa63
Julian Marquez,The Cuban Missile Crisis,6.17,185.0,72.0,Orthodox,9,3,0,0,4.18,0.43,3.84,0.51,0.0,0.0,0.53,3.0,http://ufcstats.com/fighter-details/d0e1b42d41dab603
Carmelo Marrero,The Fury,6.0,205.0,73.0,Orthodox,16,6,0,0,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,http://ufcstats.com/fighter-details/aa03a3ca00ac6827
Cesar Marscucci,,,,,,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e8efeb9cf33b1941
John Marsh,,6.0,265.0,,Orthodox,8,7,0,0,0.83,0.42,2.23,0.4,0.43,1.0,0.54,0.4,http://ufcstats.com/fighter-details/b6b12014698cc345
CJ Marsh,,,,,,5,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4c91eb190d5e0dd9
Eliot Marshall,Fire,6.17,205.0,77.0,Orthodox,10,4,0,0,1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9,http://ufcstats.com/fighter-details/a08d909a5be6f410
Doug Marshall,The Rhino,5.83,205.0,,Orthodox,18,8,0,0,6.99,0.46,4.02,0.6,0.0,0.0,0.66,2.4,http://ufcstats.com/fighter-details/0c1773639c795466
David Marshall,,6.17,170.0,,,8,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0a2813f89a758ff7
Francis Marshall,,,145.0,,,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/5d495dec23d7c68e
Jack Marshman,The Hammer,6.0,185.0,73.0,Orthodox,23,10,0,0,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/045f25b3a4c08e81
Terry Martin,,5.67,185.0,71.0,Orthodox,23,11,0,0,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0,http://ufcstats.com/fighter-details/6a92caba39b64752
Eric Martin,,,,,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/abbc4fc02e0d84b3
Justin Martin,,6.0,185.0,,,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3da19339ee7051d5
Dave Martin,,6.0,205.0,,,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/92c96df8bdab5fea
Joe Martin,,5.75,170.0,,,6,8,0,0,0.73,0.4,2.4,0.45,0.0,0.0,0.16,0.0,http://ufcstats.com/fighter-details/325550dab63fb25a
Anthony Rocco Martin,,6.0,170.0,73.0,Orthodox,17,6,0,0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,http://ufcstats.com/fighter-details/5331b25a60417ffb
Mallory Martin,,5.33,115.0,63.0,Orthodox,7,5,0,0,4.42,0.48,6.64,0.55,2.28,0.43,0.25,0.3,http://ufcstats.com/fighter-details/19b7738321cfae42
Michal Martinek,,6.17,230.0,,Southpaw,7,1,0,0,2.45,0.53,4.29,0.51,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9acf42aebe9bb895
Rainy Martinez,,6.0,199.0,,Orthodox,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/577ec7e108b94be3
Danny Martinez,The Gremlin,5.5,125.0,67.0,Orthodox,21,8,0,0,2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0,http://ufcstats.com/fighter-details/8a9c6c4301f6d088
Alonzo Martinez,Zo Diddy,5.83,155.0,,,42,20,1,0,3.07,0.27,7.33,0.52,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/feffee4fc6da3aa3
Henry Martinez,Sicario,5.58,155.0,69.0,Southpaw,9,4,0,0,2.79,0.25,4.01,0.6,0.0,0.0,0.8,0.0,http://ufcstats.com/fighter-details/76729a829623e266
Jonathan Martinez,Dragon,5.67,135.0,70.0,Southpaw,16,4,0,0,4.72,0.48,3.77,0.6,0.54,0.5,0.73,0.0,http://ufcstats.com/fighter-details/f2477cf43c4975cc
Poppies Martinez,The Tachi Kid,5.75,145.0,,,29,11,0,0,2.88,0.5,2.16,0.51,1.54,0.33,0.5,9.2,http://ufcstats.com/fighter-details/8851bb0418d27d28
Andrew Martinez,Mickey D,5.75,215.0,,,9,6,0,0,3.4,0.31,2.3,0.47,1.5,0.5,0.0,0.0,http://ufcstats.com/fighter-details/f8c2aba4815876b5
Mana Martinez,ManaBoi,5.83,135.0,70.0,Orthodox,9,3,0,0,3.8,0.5,3.55,0.41,0.93,0.66,0.12,0.9,http://ufcstats.com/fighter-details/c0386644627a7ee5
Victor Martinez,The Brick,5.67,155.0,70.0,Orthodox,13,4,0,0,9.6,0.52,7.53,0.55,1.0,0.5,0.75,0.0,http://ufcstats.com/fighter-details/3e708ce33b6b18e6
Roque Martinez,,5.83,250.0,72.0,Orthodox,15,8,2,0,3.28,0.53,4.9,0.56,0.38,0.5,0.53,0.4,http://ufcstats.com/fighter-details/2c5a0b8317f8f27a
Melissa Martinez,Super Melly,,115.0,,,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3f4c3bc822bea45d
Wagner da Conceicao Martins,Zuluzinho,6.58,390.0,,Orthodox,9,8,0,0,1.91,0.37,5.43,0.42,2.2,1.0,1.0,0.0,http://ufcstats.com/fighter-details/563d051c9e769b24
Adriano Martins,,5.83,155.0,72.0,Southpaw,28,9,0,0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,http://ufcstats.com/fighter-details/7dcf06c1967801c1
Lucas Martins,Mineiro,6.0,145.0,72.0,Southpaw,19,3,0,0,2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f
Max Martyniouk,Payne,,155.0,,,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/69d3fa376ff2595e
Bristol Marunde,,6.08,170.0,75.0,Orthodox,16,10,0,0,1.42,0.21,4.4,0.47,1.6,0.33,0.14,0.0,http://ufcstats.com/fighter-details/a17322f99ddfd8e9
Shoji Maruyama,,5.58,139.0,,Orthodox,12,9,1,0,1.4,0.63,0.27,0.55,0.0,0.0,0.54,0.0,http://ufcstats.com/fighter-details/c046100aea0dba9a
Mike Massenzio,The Master of Disaster,6.17,185.0,73.0,Southpaw,13,9,0,0,2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4,http://ufcstats.com/fighter-details/5b2d7906aa894274
Jameel Massouh,,5.83,145.0,72.0,Orthodox,26,9,0,0,1.91,0.54,2.62,0.55,0.67,0.15,0.5,0.7,http://ufcstats.com/fighter-details/883922e5cd6d8473
Tiffany Masters,Rainbow Renegade,5.25,115.0,65.0,Orthodox,2,1,0,0,3.53,0.62,2.58,0.5,3.06,0.6,0.0,0.0,http://ufcstats.com/fighter-details/ca743f96dd2063d5
Jorge Masvidal,Gamebred,5.92,170.0,74.0,Orthodox,35,16,0,0,4.11,0.48,3.06,0.64,1.44,0.59,0.74,0.3,http://ufcstats.com/fighter-details/47b9e0e7703a4868
Al Matavao,Sweetness,5.67,205.0,67.0,Orthodox,8,3,0,0,7.84,0.46,6.7,0.58,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/eec3fe66a8b11a26
Tateki Matsuda,Tech,5.58,125.0,,Orthodox,13,8,0,0,3.2,0.34,3.43,0.69,0.0,0.0,0.16,0.0,http://ufcstats.com/fighter-details/3a524c6700addc24
Daijiro Matsui,,5.75,200.0,,Orthodox,13,29,7,0,0.84,0.45,1.69,0.55,1.83,0.3,0.43,0.4,http://ufcstats.com/fighter-details/cd42bbe8887bba90
Koichiro Matsumoto,,5.58,145.0,,,15,3,1,0,1.9,0.26,3.5,0.31,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2fb6f197d1fbc779
Koyomi Matsushima,Moushigo,5.58,145.0,66.0,Orthodox,13,5,0,0,3.27,0.45,3.53,0.6,12.0,0.6,0.0,0.0,http://ufcstats.com/fighter-details/5ad226da6c74a48e
Naoki Matsushita,,5.5,155.0,,Orthodox,12,16,11,0,3.3,0.32,2.2,0.63,1.5,1.0,0.0,0.0,http://ufcstats.com/fighter-details/990060b2a68a7b82
AJ Matthews,,5.92,185.0,,,8,7,0,0,5.11,0.52,4.96,0.51,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/18e4f61f16f458c6
Jake Matthews,The Celtic Kid,5.92,170.0,73.0,Orthodox,18,5,0,0,3.17,0.45,2.18,0.61,1.85,0.41,0.66,0.6,http://ufcstats.com/fighter-details/a845f0735bc67405
Connor Matthews,Bad News,,145.0,,,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/36e78278a77006d4
Claudio Mattos,Popeye,,185.0,,Orthodox,5,4,0,0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6e2b1d631832921d
John Matua,,6.17,400.0,,Orthodox,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c933d423ebdbbbdb
Francesco Maturi,,,,,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d3b5ad3b15a64a18
Vladimir Matyushenko,The Janitor,6.0,205.0,74.0,Orthodox,27,8,0,0,1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6
Miranda Maverick,Fear The,5.25,125.0,65.0,Southpaw,12,4,0,0,3.62,0.41,2.69,0.59,2.1,0.61,0.44,0.3,http://ufcstats.com/fighter-details/f29a6350c69f4a33
Nick Maximov,,6.0,185.0,76.0,Southpaw,8,1,0,0,1.82,0.52,1.71,0.42,5.51,0.45,1.0,0.3,http://ufcstats.com/fighter-details/12585614e0ed2626
Elaina Maxwell,Beef,5.67,145.0,,Orthodox,7,4,0,0,2.07,0.6,2.4,0.53,0.0,0.0,0.5,1.0,http://ufcstats.com/fighter-details/a16ce18149021139
Jeremy May,,6.08,185.0,,,13,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c32fdfe75cda5b22
Jack May,The Outlaw,6.67,255.0,,Switch,9,3,0,0,1.52,0.38,3.29,0.33,0.91,0.33,0.2,0.0,http://ufcstats.com/fighter-details/2c6e81426dd7573c
Don'Tale Mayes,Lord Kong,6.5,260.0,81.0,Orthodox,9,4,0,0,3.75,0.46,3.83,0.42,1.32,0.53,0.62,0.0,http://ufcstats.com/fighter-details/1a9480fc288e55d7
Gray Maynard,,5.75,155.0,70.0,Orthodox,13,7,1,0,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7,http://ufcstats.com/fighter-details/7d96bc577e5178b2
Brooke Mayo,The Bully,5.58,125.0,,,0,1,0,0,1.92,0.34,3.2,0.63,3.2,0.6,0.0,2.1,http://ufcstats.com/fighter-details/1b41c21d947d6f2f
Gina Mazany,Danger,5.5,125.0,68.0,Southpaw,7,6,0,0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,http://ufcstats.com/fighter-details/016a8d958883167c
Sabina Mazo,Colombian Queen,5.58,125.0,70.0,Orthodox,9,4,0,0,6.1,0.43,4.35,0.57,0.65,0.8,0.59,0.2,http://ufcstats.com/fighter-details/70d2329a92864fdb
Scott McAfee,,5.67,155.0,,Orthodox,14,7,0,0,0.0,0.0,1.33,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7e7d81bf162a5ec1
Bobby McAndrews,,,,,Orthodox,1,3,0,0,2.56,0.83,1.03,0.5,0.0,0.0,0.33,7.7,http://ufcstats.com/fighter-details/ef6f45095119d416
Michael McBride,,6.08,155.0,,Orthodox,8,3,0,0,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2,http://ufcstats.com/fighter-details/443f60bec7c3c3d5
Ian McCall,Uncle Creepy,5.42,125.0,64.0,Orthodox,13,5,1,0,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,http://ufcstats.com/fighter-details/701e057d63c124d9
Molly McCann,Meatball,5.33,125.0,62.0,Orthodox,12,4,0,0,5.83,0.5,4.93,0.64,1.79,0.36,0.34,0.6,http://ufcstats.com/fighter-details/51018a31ddf31eb2
Charles McCarthy,Chainsaw,5.83,185.0,71.0,Orthodox,10,5,0,0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,http://ufcstats.com/fighter-details/da97d6c97d09c030
Sean McCorkle,,6.58,265.0,81.0,Orthodox,17,7,0,0,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2,http://ufcstats.com/fighter-details/008dc37cca279def
Kris McCray,Savage,6.0,170.0,76.0,Orthodox,8,5,0,0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,http://ufcstats.com/fighter-details/baed16f18348908e
